NPA,Low_Cost_Healthcare_Proximity_2017,Low_Cost_Healthcare_Proximate_Units_2017,Low_Cost_Healthcare_Proximity_2016,Low_Cost_Healthcare_Proximate_Units_2016,Grocery_Proximity_2017,Grocery_Proximate_Units_2017,Grocery_Proximity_2016,Grocery_Proximate_Units_2016,Grocery_Proximity_2015,Grocery_Proximate_Units_2015,Grocery_Proximity_2014,Grocery_Proximate_Units_2014,Grocery_Proximity_2011,Grocery_Proximate_Units_2011,Pharmacy_Proximity_2017,Pharmacy_Proximate_Units_2017,Pharmacy_Proximity_2016,Pharmacy_Proximate_Units_2016,Pharmacy_Proximity_2015,Pharmacy_Proximate_Units_2015,Pharmacy_Proximity_2013,Pharmacy_Proximate_Units_2013,Pharmacy_Proximity_2011,Pharmacy_Proximate_Units_2011,Park_Proximity_2017,Park_Proximate_Units_2017,Park_Proximity_2016,Park_Proximate_Units_2016,Park_Proximity_2015,Park_Proximate_Units_2015,Park_Proximity_2013,Park_Proximate_Units_2013,Births_to_Adolescents_2016,Births_to_Adolescents_2014,Births_to_Adolescents_2012,Births_to_Adolescents_2010,Low_Birthweight_2016,Low_Birthweight_2014,Low_Birthweight_2012,Prenatal_Care_2016,Prenatal_Care_2014,Prenatal_Care_2012,Age_of_Death_2016,Age_of_Death_2014,Age_of_Death_2012,Age_of_Death_2010,Public_Health_Insurance _2017,Public_Health_Insurance _2015,Public_Health_Insurance _2014
2,21,231,21,230,33,353,19,205,19,205,19,204,21,223,1,9,2,18,19,206,20,219,20,218,53,574,53,576,53,575,53,575,6.7,1.4,0,6.2,10,21.6,9.2,60,75.7,84.6,70,68,70,62,15,18,13
3,75,3976,85,4011,63,3349,66,3113,66,3118,54,2565,57,2540,92,4848,91,4320,91,4330,95,4513,95,4245,90,4741,96,4524,96,4547,94,4467,3,3.5,4.4,3.8,6.9,8.7,7.2,80.2,83,92.3,70,70,70,74,6,4,8
4,3,11,23,93,13,52,13,52,13,52,13,52,21,85,0,0,15,60,14,58,15,60,15,60,1,6,1,6,1,6,1,6,0,7.1,0,0,5.9,14.3,0,70.6,85.7,100,76,80,80,84,1,1,1
5,40,128,29,93,10,31,13,43,14,45,14,45,35,116,49,159,52,170,52,172,52,170,9,31,97,311,93,302,93,307,93,306,12.5,13,3.8,13.3,16.7,17.4,3.8,50,52.2,69.2,65,65,55,55,43,53,38
6,65,525,65,528,67,544,67,548,67,547,67,550,81,671,83,679,86,701,86,701,91,749,87,714,65,527,65,534,65,533,65,536,5.3,8.9,10.3,13.5,7,25,10.3,49.1,55.4,62.1,66,60,65,70,38,48,35
7,27,117,40,171,47,202,47,200,47,199,47,198,43,180,37,159,37,157,37,156,37,155,37,155,85,367,85,362,85,360,84,357,0,0,0,0,18.2,0,10,63.6,91.7,100,79,81,75,,,,
8,29,298,29,298,13,135,13,135,13,135,12,127,12,108,0,5,32,327,32,331,32,331,24,217,67,694,68,701,67,695,68,697,0,0,0,0,5,4.7,4.7,80,90.7,93,84,85,80,82,13,9,20
9,99,291,99,301,85,249,81,246,80,243,81,246,98,299,100,294,100,304,100,301,100,304,100,304,100,294,100,305,100,302,100,305,0,0,5.3,3.1,5.6,17.4,10.5,77.8,87,84.2,62,74,80,,11,10,7
10,62,984,62,986,78,1245,78,1246,78,1245,78,1245,69,1096,86,1358,86,1365,80,1269,80,1270,80,1273,100,1579,100,1585,100,1585,100,1588,1.8,3.6,10.6,4.2,12.4,14.4,14.4,60.2,71.2,73.1,69,67,71,67,29,29,29
11,30,375,31,374,63,772,63,767,55,675,56,675,57,689,31,378,47,571,46,567,60,723,59,710,100,1231,100,1225,100,1225,100,1212,0,0,0,0,7.8,10.1,10.5,82.2,85.4,100,77,83,77,77,1,1,1
12,93,1169,93,1169,0,0,0,0,0,0,0,0,0,0,100,1257,100,1257,100,1257,100,1257,0,0,59,738,59,738,59,738,59,738,4.3,8.3,6.8,7.2,9.6,12.5,11.4,53.2,52.1,63.6,64,62,58,49,31,34,27
13,0,0,0,0,14,257,0,0,0,0,0,0,0,0,24,436,24,435,24,432,23,415,23,416,69,1263,68,1251,68,1248,68,1234,2.6,3.9,4.2,1.6,9.4,6.8,6.3,56.4,56.3,61.5,64,67,63,68,16,18,15
14,47,764,47,764,63,1011,63,1010,63,1011,63,1012,60,969,63,1011,63,1010,63,1011,63,1012,63,1012,86,1393,86,1395,86,1396,86,1396,3.9,1,0,3.9,15.5,6.7,16.5,59.7,68.6,76.5,64,65,65,64,14,16,10
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,503,59,493,59,488,58,480,0,0,0,1.7,13.6,4.8,4.3,76.3,85.7,95.7,78,73,75,75,5,6,5
16,13,275,57,1208,16,344,16,344,19,409,19,409,3,73,41,871,67,1422,54,1137,61,1281,61,1288,47,986,47,986,47,984,47,984,3.7,3,2.7,5.2,9.8,14.8,10.3,57.9,58,72.6,65,63,67,69,29,31,22
17,31,383,31,383,75,946,38,470,38,472,38,472,0,0,33,416,33,416,33,416,33,416,32,408,89,1117,89,1117,89,1120,89,1120,7.8,2,10.8,10.9,17.5,11.1,16.2,41.8,59.6,56.8,67,67,72,66,30,36,28
18,72,1202,83,1409,26,439,29,498,29,497,29,497,1,8,72,1194,73,1243,83,1412,83,1401,82,1309,79,1322,81,1368,81,1365,81,1369,0,2.7,0,3.1,12.8,5.5,13.6,74.4,86.3,87.7,79,84,77,76,4,4,4
