NPA #,NSA Name,
2,Briarcreek-Woodland,
3,Dilworth,
4,Foxcroft,
5,Enderly Park,
6,Enderly Park,
7,Foxcroft,
8,Montclaire / Madison Park,
9,Plaza Hills,
10,Plaza-Shamrock,
11,Freedom Park,
12,Starmount Forest,
13,Collingwood,
14,Prosperity Church Road,
15,Stonehaven,
16,North Sharon Amity / Reddman Road,
17,Hampshire Hills,
18,Wendover / Sedgewood,
19,Quail Hollow,
20,Provincetowne,
21,Sugar Creek / Ritch Ave,
22,North Charlotte,
22,Optimist Park,
23,Stonehaven,
24,Colonial Village,
25,Piper Glen Estates,
26,Bradfield Farms,
27,Marshbrooke,
28,Cotswold,
29,Piper Glen Estates,
30,Clanton Park / Roseland,
30,Southside Park,
31,Sharon Woods,
32,Johnston Rd. / McAlpine,
33,Mineral Springs / Rumble Road,
34,Wildwood,
35,Dixie / Berryhill,
35,Harbor House,
36,Sardis Woods,
37,Belmont,
38,Davis Lake / Eastfield,
38,Henderson Circle,
39,Hickory Grove,
40,Shannon Park,
41,Johnston Rd. / McAlpine,
42,Sharon Woods,
43,Mountainbrook,
44,Beverly Woods,
45,Dixie / Berryhill,
46,Harris-Houston,
47,Providence Park,
48,Back Creek Church Road,
49,Oakdale North,
49,Oakdale South,
50,Farm Pond,
51,Wesley Heights,
52,East Forest,
53,Montclaire South,
54,Yorkmount,
55,Carmel,
56,Rain Tree,
57,North Sharon Amity / Reddman Road,
58,Idlewild Farms,
59,Hickory Ridge,
60,Harris-Houston,
61,Harris-Houston,
62,University City South,
63,University City South,
64,College Downs,
65,University City North,
66,University City North,
67,University City North,
68,Brown Road,
69,Myers Park,
70,University Park,
71,Montclaire South,
72,North Lake,
73,Moores Chapel,
73,Wildwood,
74,Park Crossing,
75,Ballantyne West,
76,Pleasant Hill Road,
77,Steele Creek,
78,Yorkshire,
79,Montclaire South,
80,University City North,
81,Brown Road,
82,Brown Road,
83,Dixie / Berryhill,
84,Dixie / Berryhill,
85,Washington Heights,
86,Briarcreek-Woodland,
87,Country Club Heights,
88,Lakewood,
88,Smallwood,
89,Marlwood,
90,Windsor Park,
91,Marlwood,
92,Olde Whitehall,
93,Yorkmount,
94,Montclaire South,
95,Olde Whitehall,
96,Olde Whitehall,
97,Yorkshire,
98,Robinson Church Road,
99,East Forest,
100,Hampshire Hills,
100,Newell South,
101,Hidden Valley,
102,Oak Forest,
103,Hidden Valley,
104,College Downs,
105,Starmount,
106,Montclaire / Madison Park,
107,Marshbrooke,
108,Marshbrooke,
109,Mountain Island,
110,Mountain Island,
111,Steele Creek,
112,Mountain Island,
112,Oakdale North,
113,Oakdale South,
114,Capitol Drive,
114,Jackson Homes,
115,Provincetowne,
116,Montclaire South,
116,Sterling,
117,West Sugar Creek / W T Harris Blvd,
118,Sardis Forest,
119,Pawtuckett,
120,Arbor Glen,
120,Pinecrest,
120,Reid Park,
121,Yorkmount,
122,Eagle,Lake
123,Firestone / Garden Park,
124,Ashley Park,
124,West Blvd,
125,Slater Rd / Hamilton Circle,
125,Wilson Heights,
126,Double Oaks,
127,Eastland / Wilora Lake,
128,Shannon Park,
129,Park Crossing,
130,Steele Creek,
131,Marshbrooke,
132,Madison Park,
133,Barclay Downs,
134,Idlewild South,
135,North Sharon Amity / Reddman Road,
136,Harwood Lane,
137,Coulwood East,
138,Sugaw Creek / Ritch Ave,
139,Slater Rd / Hamilton Circle,
139,Wilson Heights,
140,Toddville Road,
141,Thomasboro / Hoskins,
142,Sterling,
143,Beverly Woods,
144,Marshbrooke,
145,Becton Park,
146,Becton Park,
147,Becton Park,
148,Providence Plantation,
149,Providence Estates East,
150,Nevin Community,
151,Provincetowne,
152,Mallard Creek / Withrow Downs,
153,Mallard Creek / Withrow Downs,
154,Prosperity Church Road,
155,Harris-Houston,
156,Harwood Lane,
157,Lockwood,
157,Tryon Hills,
158,Firestone / Garden Park,
159,Eagle,Lake
159,Ponderosa / Wingate,
159,Reid Park,
160,Derita / Statesville,
161,Lansdowne,
162,Hickory Ridge,
163,Cherry,
164,Eastway / Sheffield Park,
165,Farm Pond,
166,Eastland / Wilora Lake,
166,Farm Pond,
167,Eastland / Wilora Lake,
168,Windsor Park,
169,Ballantyne West,
170,Provincetowne,
171,Piper Glen Estates,
171,Provincetowne,
172,Providence Crossing,
173,Westchester,
174,Eagle,Lake
174,Olde Whitehall,
175,Sardis Forest,
176,Provincetowne,
177,Carmel,
178,Eagle,Lake
179,Sherwood Forest,
180,Idlewild South,
181,Rain Tree,
182,Greenville,
183,Farm Pond,
184,Chantilly,
185,Starmount Forest,
186,Idlewild South,
187,Ballantyne West,
188,Ballantyne West,
189,Ballantyne East,
190,Todd Park,
191,North Lake,
192,Newell,
193,Providence Park,
194,Hembstead,
195,Highland Creek,
195,Mallard Creek / Withrow Downs,
196,Sunset Road,
197,Eastland / Wilora Lake,
198,Olde Providence North,
199,Toddville Road,
200,Belmont,
201,Olde Providence South,
202,Idlewild South,
203,Dixie / Berryhill,
204,Provincetowne,
205,Oxford Hunt,
206,Oxford Hunt,
207,North Lake,
208,Myers Park,
209,North Lake,
210,Foxcroft,
211,Sunset Road,
212,Montclaire South,
213,Beverly Woods,
215,Mountainbrook,
216,Olde Providence North,
217,Olde Providence North,
218,Prosperity Church Road,
219,College Downs,
219,University City South,
220,Becton Park,
221,College Downs,
222,Sardis Forest,
223,Shannon Park,
224,Touchstone Village / Elm Lane,
225,Bradfield Farms,
226,Ashbrook / Clawson Village,
227,Bradfield Farms,
228,Bradfield Farms,
229,Bradfield Farms,
230,Yorkmount,
231,Highland Creek,
231,Prosperity Church Road,
232,Davis Lake / Eastfield,
233,Whiteoak,
234,Newell South,
235,Sherwood Forest,
236,Carmel,
236,Seven Eagles,
237,Nevin Community,
238,Derita / Statesville,
240,Oakhurst,
241,Montibello,
242,Back Creek Church Road,
243,Robinson Church Road,
244,Robinson Church Road,
245,East Forest,
246,East Forest,
247,Oak Forest,
248,East Forest,
249,Oak Forest,
250,Davis Lake / Eastfield,
251,Prosperity Church Road,
252,Prosperity Church Road,
253,Ballantyne East,
254,Prosperity Church Road,
255,Ballantyne East,
256,Pleasant Hill Road,
257,Ballantyne West,
257,Provincetowne,
258,Toddville Road,
259,Mineral Springs / Rumble Road,
260,Beatties Ford / Trinity,
261,Johnston Rd. / McAlpine,
262,Piper Glen Estates,
263,Wessex Square,
264,Prosperity Church Road,
265,Prosperity Church Road,
266,Mountain Island,
267,Steele Creek,
268,Marlwood,
269,Wessex Square,
270,East Forest,
271,Hampshire Hills,
272,East Forest,
273,Back Creek Church Road,
274,Prosperity Church Road,
275,Prosperity Church Road,
276,Davis Lake / Eastfield,
277,Davis Lake / Eastfield,
278,West Sugar Creek / W T Harris Blvd,
279,West Sugar Creek / W T Harris Blvd,
280,Henderson Circle,
281,West Sugar Creek / W T Harris Blvd,
282,Rockwell Park / Hemphill Heights,
282,West Sugar Creek / W T Harris Blvd,
283,Rockwell Park / Hemphill Heights,
284,Providence Estates East,
286,Harbor House,
287,East Forest,
288,Sardis Woods,
289,Yorkshire,
290,Clanton Park / Roseland,
290,Montclaire South,
290,York Road,
291,Hidden Valley,
292,Oakview Terrance,
292,Smallwood,
293,Enderly Park,
294,West Blvd,
295,Double Oaks,
295,Genesis Park,
296,Back Creek Church Road,
297,Park Crossing,
298,Seven Eagles,
299,Newell,
300,Park Crossing,
300,Sterling,
301,Newell,
302,Seven Eagles,
303,Carmel,
304,Hidden Valley,
305,Rockwell Park / Hemphill Heights,
306,Boulevard Homes,
306,Eagle,Lake
307,Yorkmount,
308,Providence Crossing,
309,Providence Estates East,
310,Providence Estates East,
310,Providence Plantation,
311,McCrorey Heights,
311,Oaklawn,
312,Oak Forest,
313,Griers Fork,
314,Country Club Heights,
315,Commonwealth,
316,Idlewild Farms,
317,Westover Hills,
318,Sardis Woods,
319,Griers Fork,
320,Cotswold,
321,Ponderosa / Wingate,
321,Reid Park,
322,Hickory Ridge,
323,Hickory Ridge,
324,Back Creek Church Road,
325,Hickory Grove,
326,Revolution Park,
327,Oak Forest,
328,Mineral Springs / Rumble Road,
329,Mineral Springs / Rumble Road,
330,Coulwood West,
331,Mineral Springs / Rumble Road,
332,Coulwood West,
332,Harwood Lane,
333,Pawtuckett,
335,Providence Estates East,
336,Mallard Creek / Withrow Downs,
337,Harwood Lane,
338,Brookhill,
339,Dilworth,
339,Wilmore,
340,Fourth Ward,
340,Lockwood,
340,Third Ward,
341,First Ward,
341,Optimist Park,
342,Dilworth,
343,North Charlotte,
344,North Charlotte,
345,Mountain Island,
345,Oakdale North,
345,Oakdale South,
346,Westchester,
347,Seversville,
348,Coulwood West,
349,Foxcroft,
350,Governor's Square,
351,Wessex Square,
352,Oxford Hunt,
353,Olde Providence South,
354,Johnston Rd. / McAlpine,
355,Ballantyne West,
356,Ballantyne East,
356,Ballantyne West,
357,Ashbrook / Clawson Village,
358,Barclay Downs,
359,Beverly Woods,
360,Robinson Church Road,
361,Ashley Park,
361,Westover Hills,
362,Clanton Park / Roseland,
363,Druid Hills North,
363,Druid Hills South,
363,J.T. Williams,
364,Eastover,
365,Eastway / Sheffield Park,
366,Coliseum Drive,
366,Echo Hills,
367,Elizabeth,
368,Hwy 51 / Park Road,
369,Tryon Hills,
370,Grier Heights,
371,Hampshire Hills,
371,Hidden Valley,
372,Highland Creek,
373,Lansdowne,
374,Lincoln Heights,
375,Montibello,
376,Coulwood West,
376,Harwood Lane,
377,Back Creek Church Road,
378,Country Club Heights,
378,Plaza Midwood,
379,Providence Crossing,
380,Providence Plantation,
381,Sedgefield,
382,Biddleville,
382,Smallwood,
383,Starmount,
383,Starmount Forest,
384,Third Ward,
385,Thomasboro / Hoskins,
386,Villa Heights,
387,Westerly Hills,
388,Wilmore,
389,Windsor Park,
390,Echo Hills,
390,Oakhurst,
391,Stonehaven,
392,Myers Park,
393,Madison Park,
393,Montclaire / Madison Park,
394,Cotswold,
